station,net_node,hour,threshold,nodes_CA,nodes_TCA,reduction_pct
마천,10277058704,6,38.0,1004,1004,0.0
거여,4489986954,6,38.0,1107,1107,0.0
개롱,12142687377,6,38.0,1146,1146,0.0
방이,2310500979,6,38.0,840,840,0.0
올림픽공원,8493888383,6,38.0,637,637,0.0
둔촌동,4680325914,6,38.0,548,548,0.0
상일동,7106623354,6,38.0,484,484,0.0
고덕,5915757376,6,38.0,713,713,0.0
명일,10009228390,6,38.0,570,570,0.0
굽은다리,3851742835,6,38.0,725,725,0.0
길동,3856135009,6,38.0,792,792,0.0
강동,3856513978,6,38.0,814,814,0.0
광나루,11182352080,6,38.0,452,452,0.0
아차산,2123390941,6,38.0,612,612,0.0
장한평,10708070992,6,38.0,481,481,0.0
답십리,10708182321,6,38.0,295,295,0.0
마장,3832676328,6,38.0,1208,1208,0.0
행당,3833113882,6,38.0,1241,1241,0.0
신금호,3848968727,6,38.0,743,743,0.0
광화문,13971398420,6,38.0,1418,1418,0.0
서대문,445343537,6,38.0,1362,1362,0.0
애오개,13142535285,6,38.0,1849,1849,0.0
공덕,9941864292,6,38.0,1998,1998,0.0
마포,13227969612,6,38.0,1192,1192,0.0
여의나루,355173356,6,38.0,598,598,0.0
여의도,4744225606,6,38.0,421,421,0.0
신길,4529530743,6,38.0,518,518,0.0
영등포시장,355173354,6,38.0,1102,1102,0.0
영등포구청,5215341470,6,38.0,1148,1148,0.0
양평,436860925,6,38.0,708,708,0.0
오목교,2808319707,6,38.0,1088,1088,0.0
목동,13895049012,6,38.0,1061,1061,0.0
신정,2848435510,6,38.0,787,787,0.0
까치산,1906282324,6,38.0,941,941,0.0
화곡,2289350750,6,38.0,1376,1376,0.0
우장산,4706229292,6,38.0,1447,1447,0.0
발산,1791473931,6,38.0,929,929,0.0
마곡,13800646917,6,38.0,593,593,0.0
송정,4602991606,6,38.0,677,677,0.0
개화산,9228947724,6,38.0,593,593,0.0
방화,2702609963,6,38.0,435,435,0.0
봉화산,436834232,6,38.0,477,477,0.0
화랑대,3842209686,6,38.0,904,904,0.0
석계,1795189949,6,38.0,982,982,0.0
돌곶이,3830773366,6,38.0,1397,1397,0.0
상월곡,5219803722,6,38.0,1040,1040,0.0
월곡,5406198806,6,38.0,1159,1159,0.0
안암,7625622864,6,38.0,1804,1804,0.0
창신,1943131791,6,38.0,758,758,0.0
청구,1936511423,6,38.0,1242,1242,0.0
버티고개,3847632030,6,38.0,334,334,0.0
한강진,436868241,6,38.0,569,569,0.0
이태원,2470887090,6,38.0,754,754,0.0
녹사평,2384953064,6,38.0,1040,1040,0.0
효창공원앞,4426288471,6,38.0,1133,1133,0.0
대흥,9987526934,6,38.0,1983,1983,0.0
광흥창,4101356295,6,38.0,1853,1853,0.0
상수,414685238,6,38.0,1337,1337,0.0
망원,445327391,6,38.0,1724,1724,0.0
마포구청,5905951490,6,38.0,1038,1038,0.0
월드컵경기장,798569457,6,38.0,500,500,0.0
증산,3823125035,6,38.0,1303,1303,0.0
새절,3822999355,6,38.0,1828,1828,0.0
구산,2292697262,6,38.0,1767,1767,0.0
연신내,13357342120,6,38.0,1578,1578,0.0
독바위,3824954278,6,38.0,914,914,0.0
역촌,10789220053,6,38.0,1917,1917,0.0
어린이대공원,7939459503,6,38.0,860,860,0.0
군자,8743773046,6,38.0,1103,1103,0.0
중곡,3840461137,6,38.0,932,932,0.0
용마산,10141309870,6,38.0,1285,1285,0.0
사가정,436849774,6,38.0,1805,1805,0.0
