u,v,osmid,highway_1,width_final,length,Tmrt_06,Tmrt_07,Tmrt_08,Tmrt_09,Tmrt_10,Tmrt_11,Tmrt_12,Tmrt_13,Tmrt_14,Tmrt_15,Tmrt_16,Tmrt_17,Tmrt_18,Tmrt_19
4011204282,7984928216,856378835,service,4.0,68.65992765304169,23.732879638671875,31.462481689453124,39.89760131835938,49.105587768554685,55.724053955078126,57.911083984375,59.4609375,58.506292724609374,58.92064208984375,57.808447265625,55.37852172851562,52.3625244140625,46.68256530761719,39.28017883300781
7984928216,4011204282,856378835,service,4.0,68.65992765304169,23.732879638671875,31.462481689453124,39.89760131835938,49.105587768554685,55.724053955078126,57.911083984375,59.4609375,58.506292724609374,58.92064208984375,57.808447265625,55.37852172851562,52.3625244140625,46.68256530761719,39.28017883300781
307939694,7984928216,64980267,footway,3.0,64.79163092617117,23.725889587402342,31.54497375488281,40.06193237304687,49.285186767578125,55.91307373046875,58.229827880859375,59.730950927734376,58.785491943359375,59.20326538085938,58.112188720703124,55.71751708984375,52.670379638671875,46.94584350585937,39.383932495117186
7984928216,307939694,64980267,footway,3.0,64.79163092617117,23.725889587402342,31.54497375488281,40.06193237304687,49.285186767578125,55.91307373046875,58.229827880859375,59.730950927734376,58.785491943359375,59.20326538085938,58.112188720703124,55.71751708984375,52.670379638671875,46.94584350585937,39.383932495117186
307939694,4011204275,398355712,footway,2.0,62.09801932567314,23.95012855529785,32.13594055175781,40.63148498535156,50.084861755371094,56.973670959472656,59.336204528808594,61.34121322631836,60.316619873046875,60.86422348022461,59.413238525390625,53.732818603515625,49.66830062866211,44.16155242919922,36.178802490234375
4011204275,307939694,398355712,footway,2.0,62.09801932567314,23.95012855529785,32.13594055175781,40.63148498535156,50.084861755371094,56.973670959472656,59.336204528808594,61.34121322631836,60.316619873046875,60.86422348022461,59.413238525390625,53.732818603515625,49.66830062866211,44.16155242919922,36.178802490234375
4011204272,307939694,"[398355712, 398355711]",footway,2.0,210.35032560467562,23.81936264038086,32.311344146728516,41.08940124511719,50.66123962402344,57.55268096923828,60.02588653564453,61.75556182861328,60.872432708740234,61.4609375,60.348392486572266,57.914249420166016,54.92433547973633,49.18915557861328,41.542388916015625
307939694,4011204272,"[398355712, 398355711]",footway,2.0,210.35032560467562,23.81936264038086,32.311344146728516,41.08940124511719,50.66123962402344,57.55268096923828,60.02588653564453,61.75556182861328,60.872432708740234,61.4609375,60.348392486572266,57.914249420166016,54.92433547973633,49.18915557861328,41.542388916015625
4011204269,4011204271,398355710,footway,2.0,88.305188320674,23.826614379882812,32.11866760253906,40.86088562011719,50.32405090332031,57.19825744628906,59.69818878173828,61.33396530151367,60.45636749267578,61.49514389038086,60.50480651855469,58.08278274536133,55.07861328125,49.33146667480469,41.67890167236328
4011204271,4011204269,398355710,footway,2.0,88.305188320674,23.826614379882812,32.11866760253906,40.86088562011719,50.32405090332031,57.19825744628906,59.69818878173828,61.33396530151367,60.45636749267578,61.49514389038086,60.50480651855469,58.08278274536133,55.07861328125,49.33146667480469,41.67890167236328
4011204269,4011204268,1116476968,footway,3.0,28.959752085877504,23.922157287597656,32.94375228881836,41.844234466552734,51.68117141723633,58.76457214355469,61.45954895019531,63.58919143676758,62.7280387878418,63.46470642089844,62.325828552246094,59.782596588134766,56.90469741821289,51.35173034667969,43.80730056762695
4011204268,4011204269,1116476968,footway,3.0,28.959752085877504,23.922157287597656,32.94375228881836,41.844234466552734,51.68117141723633,58.76457214355469,61.45954895019531,63.58919143676758,62.7280387878418,63.46470642089844,62.325828552246094,59.782596588134766,56.90469741821289,51.35173034667969,43.80730056762695
4011204268,4011205501,398355709,footway,2.0,39.76890305728472,23.931495666503906,32.6877326965332,41.48149871826172,51.228851318359375,58.241329193115234,60.94139862060547,62.95640182495117,62.64119338989258,63.546653747558594,62.45024490356445,59.92780685424805,57.062496185302734,51.481781005859375,43.89680480957031
4011205501,4011204268,398355709,footway,2.0,39.76890305728472,23.931495666503906,32.6877326965332,41.48149871826172,51.228851318359375,58.241329193115234,60.94139862060547,62.95640182495117,62.64119338989258,63.546653747558594,62.45024490356445,59.92780685424805,57.062496185302734,51.481781005859375,43.89680480957031
732245019,614825707,"[59079420, 59079428]",trunk_link,6.0,316.305061940522,23.954416275024414,31.85759162902832,41.42976379394531,51.72108840942383,58.982086181640625,61.706512451171875,63.7581672668457,63.06541442871094,63.8380126953125,62.64637756347656,60.09377670288086,57.26744842529297,51.765907287597656,44.34761428833008
614825707,732245019,"[59079420, 59079428]",trunk_link,6.0,316.30506194052197,23.954416275024414,31.85759162902832,41.42976379394531,51.72108840942383,58.982086181640625,61.706512451171875,63.7581672668457,63.06541442871094,63.8380126953125,62.64637756347656,60.09377670288086,57.26744842529297,51.765907287597656,44.34761428833008
732244691,732244120,59079431,trunk_link,6.0,98.61788700643929,24.287111282348633,29.22010040283203,36.670806884765625,45.0673942565918,51.27704620361328,54.144859313964844,58.932132720947266,58.282005310058594,59.218605041503906,57.94013214111328,55.270484924316406,52.760189056396484,47.54972457885742,39.548831939697266
732244120,732244691,59079431,trunk_link,6.0,98.6178870064393,24.287111282348633,29.22010040283203,36.670806884765625,45.0673942565918,51.27704620361328,54.144859313964844,58.932132720947266,58.282005310058594,59.218605041503906,57.94013214111328,55.270484924316406,52.760189056396484,47.54972457885742,39.548831939697266
7984928220,7984928217,856378835,service,4.0,289.8831348564083,24.16426203801082,30.132906400240383,36.55991774338942,44.56767859825721,49.9944833608774,52.38235708383414,56.61235163762019,56.81340613731971,57.59381573016827,56.28020770733173,53.0000985952524,50.18172513521635,44.89490685096154,37.30481896033654
7984928217,7984928220,856378835,service,4.0,289.8831348564083,24.16426203801082,30.132906400240383,36.55991774338942,44.56767859825721,49.9944833608774,52.38235708383414,56.61235163762019,56.81340613731971,57.59381573016827,56.28020770733173,53.0000985952524,50.18172513521635,44.89490685096154,37.30481896033654
4011205435,3643532261,359677569,footway,2.0,77.9937820521647,24.5251220703125,30.400918579101564,36.7564697265625,43.960400390625,49.22911071777344,51.54771728515625,58.067333984375,54.7939208984375,52.49593505859375,51.35245361328125,47.85411376953125,44.530679321289064,37.706564331054686,32.22188110351563
